file_name,cell_count,file_name_ch2,ch2_pos,plate_id,well
G21_02_1_2_RFP_001.tif,167,G21_02_2_2_GFP_001.tif,71,82,G21
N2_02_1_1_RFP_001.tif,275,N2_02_2_1_GFP_001.tif,13,82,N02
G21_02_1_1_RFP_001.tif,82,G21_02_2_1_GFP_001.tif,45,82,G21
J6_02_1_2_RFP_001.tif,61,J6_02_2_2_GFP_001.tif,44,82,J06
E10_02_1_1_RFP_001.tif,24,E10_02_2_1_GFP_001.tif,13,82,E10
K11_02_1_1_RFP_001.tif,60,K11_02_2_1_GFP_001.tif,4,82,K11
H7_02_1_2_RFP_001.tif,188,H7_02_2_2_GFP_001.tif,102,82,H07
J6_02_1_1_RFP_001.tif,25,J6_02_2_1_GFP_001.tif,18,82,J06
F20_02_1_1_RFP_001.tif,28,F20_02_2_1_GFP_001.tif,18,82,F20
M18_02_1_2_RFP_001.tif,487,M18_02_2_2_GFP_001.tif,20,82,M18
D21_02_1_1_RFP_001.tif,46,D21_02_2_1_GFP_001.tif,0,82,D21
K17_02_1_1_RFP_001.tif,68,K17_02_2_1_GFP_001.tif,5,82,K17
E21_02_1_2_RFP_001.tif,40,E21_02_2_2_GFP_001.tif,19,82,E21
F3_02_1_2_RFP_001.tif,39,F3_02_2_2_GFP_001.tif,22,82,F03
J5_02_1_2_RFP_001.tif,82,J5_02_2_2_GFP_001.tif,52,82,J05
E4_02_1_1_RFP_001.tif,37,E4_02_2_1_GFP_001.tif,34,82,E04
I12_02_1_1_RFP_001.tif,73,I12_02_2_1_GFP_001.tif,46,82,I12
G12_02_1_1_RFP_001.tif,118,G12_02_2_1_GFP_001.tif,77,82,G12
C11_02_1_2_RFP_001.tif,464,C11_02_2_2_GFP_001.tif,3,82,C11
I18_02_1_2_RFP_001.tif,73,I18_02_2_2_GFP_001.tif,39,82,I18
F4_02_1_2_RFP_001.tif,25,F4_02_2_2_GFP_001.tif,19,82,F04
F12_02_1_2_RFP_001.tif,36,F12_02_2_2_GFP_001.tif,25,82,F12
G5_02_1_2_RFP_001.tif,103,G5_02_2_2_GFP_001.tif,70,82,G05
J18_02_1_1_RFP_001.tif,28,J18_02_2_1_GFP_001.tif,19,82,J18
J13_02_1_1_RFP_001.tif,92,J13_02_2_1_GFP_001.tif,51,82,J13
D14_02_1_1_RFP_001.tif,115,D14_02_2_1_GFP_001.tif,1,82,D14
E3_02_1_1_RFP_001.tif,23,E3_02_2_1_GFP_001.tif,17,82,E03
C2_02_1_1_RFP_001.tif,291,C2_02_2_1_GFP_001.tif,2,82,C02
D15_02_1_1_RFP_001.tif,137,D15_02_2_1_GFP_001.tif,2,82,D15
D6_02_1_2_RFP_001.tif,352,D6_02_2_2_GFP_001.tif,2,82,D06
L22_02_1_1_RFP_001.tif,158,L22_02_2_1_GFP_001.tif,91,82,L22
I16_02_1_1_RFP_001.tif,38,I16_02_2_1_GFP_001.tif,24,82,I16
